date,time,symbol,entry_price,current_price,high,low,stop_loss,target,status,days_held,pnl_pct
2025-12-10,09:17:15,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,1,-32.66
2025-12-10,09:17:24,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-10,09:17:24,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,1,-32.66
2025-12-10,15:32:31,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,15:32:31,CHOLAFIN.NS,32.00,32.00,34.70,11.65,0.00,36.00,OPEN,2,0.00
2025-12-10,15:32:31,ADANIENSOL.NS,30.00,30.00,30.00,30.00,0.00,34.00,OPEN,0,0.00
2025-12-10,15:32:31,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,15:37:53,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,15:37:53,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,2,-32.66
2025-12-10,15:37:53,ADANIENSOL.NS,30.00,30.00,30.00,30.00,0.00,34.00,OPEN,0,0.00
2025-12-10,15:37:53,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,15:50:23,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,15:50:23,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,2,-32.66
2025-12-10,15:50:23,ADANIENSOL.NS,30.00,30.00,30.00,30.00,0.00,34.00,OPEN,0,0.00
2025-12-10,15:50:23,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,15:53:25,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,15:53:25,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,2,-32.66
2025-12-10,15:53:25,ADANIENSOL.NS,30.00,30.00,30.00,30.00,0.00,34.00,OPEN,0,0.00
2025-12-10,15:53:25,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,15:59:01,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,15:59:01,CHOLAFIN.NS,32.00,32.00,34.70,11.65,0.00,36.00,OPEN,2,0.00
2025-12-10,15:59:01,ADANIENSOL.NS,30.00,30.00,30.00,30.00,0.00,34.00,OPEN,0,0.00
2025-12-10,15:59:01,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,16:03:10,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,16:03:10,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,2,-32.66
2025-12-10,16:03:10,ADANIENSOL.NS,30.00,30.00,30.00,30.00,0.00,34.00,OPEN,0,0.00
2025-12-10,16:03:10,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,23:07:30,ADANIENSOL.NS,30.00,22.70,35.60,30.00,0.00,34.00,TARGET_HIT,0,13.14
2025-12-10,23:07:30,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,23:07:30,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-10,23:07:30,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,23:07:47,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,23:07:47,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-10,23:07:47,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,23:10:18,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,23:10:18,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-10,23:10:18,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,23:52:29,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,23:52:29,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-10,23:52:29,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,23:55:50,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,23:55:50,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-10,23:55:50,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-10,23:58:53,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-10,23:58:53,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-10,23:58:53,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-11,00:02:47,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-11,00:02:47,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-11,00:02:47,SENSEX.NS,470.00,470.00,470.00,470.00,0.00,520.00,OPEN,0,0.00
2025-12-11,00:11:37,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-11,00:11:37,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-11,00:14:33,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,2,0.00
2025-12-11,00:14:33,CHOLAFIN.NS,32.00,22.45,34.70,11.65,0.00,36.00,OPEN,2,-29.84
2025-12-12,00:06:23,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,3,0.00
2025-12-12,00:06:23,CHOLAFIN.NS,32.00,16.20,34.70,11.65,0.00,36.00,OPEN,3,-49.38
2025-12-12,00:50:18,CHOLAFIN.NS,32.00,16.20,34.70,11.65,0.00,36.00,OPEN,3,-49.38
