ticker,company_name,listing_date,listing_price,current_price,num_shares,invested_amount,current_value,absolute_return,return_pct,days_held,years_held,cagr,xirr,status
ARVINDFASN,Arvind Fashions Limited,2019-03-08,435.2214654012513,502.45001220703125,34.46521183455597,15000,17317.046106990565,2317.046106990565,15.446974046603767,2442,6.685831622176591,2.171686036826559,2.171686037550401,PROFIT
ACMESOLAR,ACMESOLAR,2024-11-13,250.76005094018615,255.1999969482422,59.81814066379319,15000,15265.589314849543,265.58931484954337,1.770595432330289,365,0.999315537303217,1.7718188498001108,1.7718188498007406,PROFIT
AETHER,Aether Industries Limited,2022-06-03,704.0,743.6500244140625,21.306818181818183,15000,15844.815861095083,844.8158610950832,5.632105740633888,1259,3.4469541409993156,1.6022833032187433,1.6022833220014587,PROFIT
AJAXENGG,AJAXENGG,2025-02-17,576.0,575.8499755859375,26.041666666666668,15000,14996.093114217123,-3.906885782876998,-0.026045905219179988,269,0.7364818617385352,-0.0353636563826476,-0.03536365638078645,LOSS
AFCONS,AFCONS,2024-11-04,423.441738649836,422.3999938964844,35.423999645921086,15000,14963.097234226132,-36.90276577386794,-0.24601843849245295,374,1.0239561943874058,-0.2402695798210508,-0.24026957980466798,LOSS
AARTISURF,Aarti Surfactants Limited,2020-07-14,494.2792953013165,468.54998779296875,30.347214909853513,15000,14219.187175562463,-780.8128244375366,-5.205418829583578,1948,5.333333333333333,-0.9973297073732956,-0.9973296688692032,LOSS
AEROFLEX,Aeroflex Industries Limited,2023-08-31,189.4232205775029,183.80999755859375,79.18775720457525,15000,14555.50145844349,-444.49854155650974,-2.9633236103767313,805,2.2039698836413417,-1.3555910822927508,-1.3555910590835212,LOSS
AERONEU,Aeroflex Neu Limited,2023-01-12,84.56027076357887,80.19000244140625,177.38826832684032,15000,14224.765670206152,-775.2343297938478,-5.168228865292319,1036,2.836413415468857,-1.853480856051326,-1.8534808560465992,LOSS
AEROENTER,Aeroflex Enterprises Limited,2025-06-16,90.56207357664162,89.66999816894531,165.6322498767177,15000,14852.24354316357,-147.75645683643052,-0.9850430455762035,150,0.4106776180698152,-2.3816516592678916,-2.3816516592650565,LOSS
APTUS,Aptus Value Housing Finance India Limited,2021-08-24,317.27870114933125,282.95001220703125,47.27704679092234,15000,13377.040966603865,-1622.959033396135,-10.819726889307567,1542,4.2217659137577,-2.6759250841632,-2.675925065383305,LOSS
BAJEL,Bajel Projects Limited,2023-12-19,200.0,186.64999389648438,75.0,15000,13998.749542236328,-1001.2504577636719,-6.6750030517578125,695,1.9028062970568105,-3.5654288097908493,-3.5654288097905273,LOSS
ARKADE,ARKADE,2024-09-24,174.07977616149552,166.8000030517578,86.167390208983,15000,14372.72094982037,-627.2790501796298,-4.181860334530866,415,1.136208076659822,-3.6899138610870352,-3.6899138589403955,LOSS
AXITA,Axita Cotton Limited,2022-06-21,10.363156139391805,8.260000228881836,1447.4354914892099,15000,11955.817490992566,-3044.1825090074344,-20.294550060049563,1241,3.3976728268309375,-6.458131157808933,-6.458131157811742,LOSS
ASHOKAMET,Ashoka Metcast Limited,2023-06-27,19.950000762939453,16.829999923706055,751.8796704943026,15000,12654.134797055245,-2345.865202944755,-15.639101352965032,870,2.3819301848049284,-6.89091963168943,-6.890919629754415,LOSS
AFSL,Abans Financial Services Limited,2022-12-23,273.0,216.74000549316406,54.94505494505494,15000,11908.79151061341,-3091.2084893865904,-20.608056595910604,1056,2.891170431211499,-7.6717499279865375,-7.671749927987196,LOSS
BANSALWIRE,BANSALWIRE,2024-07-10,356.0,315.8500061035156,42.13483146067416,15000,13308.286774024535,-1691.7132259754653,-11.278088173169769,491,1.3442847364818618,-8.51693660493169,-8.516936604924346,LOSS
ALIVUS,Alivus Life Sciences Limited,2025-01-13,1000.5766798310876,909.0499877929688,14.991354788053052,15000,13627.89088707969,-1372.1091129203105,-9.147394086135403,304,0.8323066392881588,-10.886562893451067,-10.88656289345024,LOSS
ATL,Allcargo Terminals Limited,2023-08-10,47.26985910750655,34.529998779296875,317.32694539844675,15000,10957.299037246372,-4042.700962753628,-26.951339751690856,826,2.2614647501711156,-12.965682493443808,-12.965682493524502,LOSS
ANTHEM,ANTHEM,2025-07-21,723.0499877929688,686.4000244140625,20.745453638393474,15000,14239.679883874083,-760.3201161259167,-5.068800774172778,115,0.31485284052019163,-15.228685944787435,-15.228685944787335,LOSS
ALLDIGI,Alldigi Tech Limited,2024-09-18,1092.6494187580597,899.2999877929688,13.72809955552759,15000,12345.679762706623,-2654.3202372933774,-17.695468248622518,421,1.1526351813826146,-15.545348774671064,-15.545348769440906,LOSS
BELLACASA,Bella Casa Fashion & Retail Limited,2025-07-18,426.6229837606766,402.1499938964844,35.15984972908674,15000,14139.533353953539,-860.4666460464614,-5.736444306976409,118,0.32306639288158795,-16.71142751299164,-16.71142751299116,LOSS
AVANTEL,Avantel Limited,2024-07-31,210.6454576807654,164.42999267578125,71.20970072249362,15000,11709.0105682442,-3290.989431755799,-21.939929545038662,470,1.2867898699520877,-17.509572734502278,-17.50957273450291,LOSS
ANMOL,Anmol India Limited,2021-06-04,37.97999954223633,15.630000114440918,394.94471250108853,15000,6172.985901589849,-8827.01409841015,-58.84676065606767,1623,4.4435318275154,-18.111467713418783,-18.11146771452129,LOSS
ANTELOPUS,ANTELOPUS,2025-09-11,560.1500244140625,539.25,26.778540294969282,15000,14440.327854062185,-559.672145937815,-3.731147639585433,63,0.17248459958932238,-19.784752495717072,-19.784752495716415,LOSS
AKI,AKI India Limited,2023-04-06,15.619999885559082,7.989999771118164,960.3073053712195,15000,7672.855150119145,-7327.144849880855,-48.84763233253903,952,2.6064339493497606,-22.678246748749984,-22.678246748751082,LOSS
BAJAJHFL,BAJAJHFL,2024-09-16,150.0,108.02999877929688,100.0,15000,10802.999877929688,-4197.0001220703125,-27.980000813802082,423,1.158110882956879,-24.679308116560826,-24.679308120946956,LOSS
AURIGROW,Auri Grow India Limited,2025-10-08,0.5899999737739563,0.5699999928474426,25423.729943667546,15000,14491.525886045814,-508.47411395418567,-3.3898274263612382,36,0.09856262833675565,-29.52348632563684,-29.523486325015867,LOSS
BAIDFIN,Baid Finserv Limited,2023-01-20,29.297047653839858,10.869999885559082,511.9969826732355,15000,5565.407143064665,-9434.592856935335,-62.89728571290223,1028,2.8145106091718,-29.69128369940347,-29.69128369940079,LOSS
ANUHPHR,Anuh Pharma Limited,2024-12-20,114.0312236514579,82.18000030517578,131.54291885745474,15000,10810.197111849344,-4189.802888150656,-27.93201925433771,328,0.8980150581793293,-30.563700244178282,-30.56370024417786,LOSS
AKUMS,AKUMS,2024-08-06,725.0,453.1499938964844,20.689655172413794,15000,9375.517115099678,-5624.4828849003225,-37.49655256600215,464,1.270362765229295,-30.921904222922024,-30.92190422292192,LOSS
ATAM,Atam Valves Limited,2023-05-10,234.5809233435581,90.55999755859375,63.94381856035063,15000,5790.752052712514,-9209.247947287486,-61.3949863152499,918,2.513347022587269,-31.52445008197423,-31.524450079330524,LOSS
AFIL,AFIL,2024-06-26,12.699999809265137,7.400000095367432,1181.1023799431025,15000,8740.157724217659,-6259.842275782341,-41.73228183854894,505,1.3826146475017111,-32.338480836756936,-32.338480835345145,LOSS
ALLTIME,ALLTIME,2025-08-14,311.29998779296875,280.8999938964844,48.185032406669436,15000,13535.175308935346,-1464.824691064654,-9.765497940431027,91,0.24914442162902123,-33.7970272772516,-33.79702727725295,LOSS
BESTAGRO,Best Agrolife Limited,2022-11-10,1528.3059227752083,300.79998779296875,9.8147888956433,15000,2952.28838000007,-12047.71161999993,-80.3180774666662,1099,3.0088980150581794,-41.738046554380006,-41.73804655441213,LOSS
ABLBL,ABLBL,2025-06-23,167.0,129.9600067138672,89.82035928143712,15000,11673.054495257531,-3326.945504742469,-22.179636698283126,143,0.3915126625598905,-47.297544986277096,-47.29754498625924,LOSS
BALAJEE,BALAJEE,2024-09-12,90.0,41.86000061035156,166.66666666666666,15000,6976.666768391927,-8023.333231608073,-53.48888821072049,427,1.1690622861054072,-48.04437964847166,-48.04437964885215,LOSS
AKSHAR,Akshar Spintex Limited,2022-05-23,6.294225215911865,0.550000011920929,2383.136841382772,15000,1310.7252911697296,-13689.274708830271,-91.26183139220181,1270,3.477070499657769,-50.39171881610021,-50.39171881610041,LOSS
ARISINFRA,ARISINFRA,2025-06-25,205.0,155.6300048828125,73.17073170731707,15000,11387.56133288872,-3612.4386671112807,-24.082924447408537,141,0.3860369609856263,-51.018925505393796,-51.018925506218714,LOSS
AGSTRA,AGS Transact Technologies Limited,2022-01-31,175.0,4.150000095367432,85.71428571428571,15000,355.714293888637,-14644.285706111363,-97.62857137407576,1382,3.783709787816564,-62.801110614780995,-62.80111061478042,LOSS
AMANTA,AMANTA,2025-09-11,145.97999572753906,122.76000213623047,102.75380489801081,15000,12614.057308785616,-2385.9426912143845,-15.906284608095897,63,0.17248459958932238,-63.37246680963465,-63.37246680963443,LOSS
AFFORDABLE,Affordable Robotic & Automation Limited,2024-10-23,751.0999755859375,235.5,19.9707102750182,15000,4703.102269766786,-10296.897730233213,-68.64598486822142,386,1.056810403832991,-66.62888877997182,-66.62888878477867,LOSS
